Timestamp              ,InitDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2020-08-08 21:00:34.209,28.65           ,1571.47     ,1600              ,128          ,62
2020-08-08 21:00:31.997,25.83           ,1529.47     ,1600              ,128          ,62
2020-08-08 21:00:29.976,22.81           ,1606.72     ,1700              ,128          ,62
2020-08-08 21:00:27.723,33.61           ,1618.7      ,1700              ,128          ,63
2020-08-08 21:00:25.561,24.74           ,1591.09     ,1600              ,128          ,62
2020-08-08 21:00:23.473,23.97           ,1777.98     ,1800              ,128          ,63
2020-08-08 21:00:21.108,21.9            ,1525.24     ,1600              ,128          ,62
2020-08-08 21:00:19.047,23.84           ,1584        ,1600              ,128          ,62
2020-08-08 21:00:16.948,42.84           ,1625.42     ,1700              ,128          ,62
2020-08-08 21:00:14.651,21.02           ,1526.49     ,1600              ,128          ,62
2020-08-08 21:00:12.008,28.88           ,1666.52     ,1700              ,128          ,63
2020-08-08 21:00:09.686,20.55           ,1586.37     ,1600              ,128          ,62
2020-08-08 21:00:07.529,24.2            ,1933.19     ,2000              ,128          ,63
2020-08-08 21:00:02.907,20.72           ,1589.02     ,1600              ,128          ,62
2020-08-08 21:00:00.653,24.3            ,1425.41     ,1500              ,128          ,63
2020-08-08 20:59:58.666,23.83           ,1536.81     ,1600              ,128          ,62
2020-08-08 20:59:56.546,22.64           ,1472.68     ,1500              ,128          ,63
2020-08-08 20:59:54.551,26.27           ,1509.83     ,1600              ,128          ,63
2020-08-08 20:59:52.463,26.11           ,1555.4      ,1600              ,128          ,63
2020-08-08 20:59:49.884,24.95           ,1497.33     ,1500              ,128          ,62
2020-08-08 20:58:21.932,20.77           ,1527.75     ,1600              ,128          ,62
